"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-01","29","36","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-02","24","30","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-03","27","30","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-04","29","35","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-05","32","39","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-06","38","42","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-07","42","49","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-08","45","50","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-09","45","54","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-10","46","52","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-11","42","47","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-12","36","41","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-13","40","48","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-14","48","52","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-15","41","47","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-16","26","34","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-17","34","39","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-18","33","36","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-19","28","32","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-20","21","26","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-21","23","40","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-22","41","47","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-23","35","38","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-24","14","17","9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-25","13","22","10"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-26",,"27","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-27",,"22","15"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-28",,"23","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-29",,"23","11"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-30",,"18","9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-01-31",,"24","10"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-02-01",,"24","10"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-02-02",,"35","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-02-03",,"33","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-02-04",,"33","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-02-05",,"32","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-02-06",,"33","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-02-07",,"27","6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-02-08",,"18","3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-02-09",,"31","10"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-02-10",,"37","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-02-11",,"41","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2026-02-12",,"36","27"
